iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
45,0,0.021736,0.500397,0.045303,0.001179,0.537568,10.227453,15.630554,30.566093,0.216573,0.175845,0.016018,3.896889,4.278579
46,0,0.022508,0.800948,0.049233,0.001310,0.851368,8.806115,15.672484,30.318768,0.168428,0.430052,0.012584,4.769024,5.368004
47,0,0.019989,0.463136,0.037705,0.001063,0.501904,10.121578,14.635661,29.637034,0.168582,0.113099,0.006397,4.170134,4.449910
48,0,0.019509,0.618214,0.042908,0.001107,0.662179,9.883358,15.693517,30.591051,0.180061,0.213670,0.006963,4.128767,4.529461
49,0,0.027965,0.795551,0.063735,0.001832,0.860423,7.101807,15.433955,30.364858,0.298683,0.299434,0.014548,6.618925,7.029371
50,0,0.025422,0.681534,0.055056,0.001231,0.737623,8.478416,15.521639,30.307127,0.277414,0.262243,0.022637,5.220551,5.524708
51,0,0.021611,0.918357,0.048725,0.000998,0.967886,9.326967,0.459645,15.479688,0.278356,0.547621,0.025471,4.402296,5.229098
52,0,0.012246,0.695914,0.065397,0.001483,0.762641,9.249101,15.632769,31.544962,0.374316,0.374335,0.031169,5.483314,5.868846
53,0,0.019688,1.268295,0.047627,0.001117,1.316962,9.086158,15.855386,30.656988,0.187722,0.879444,0.010751,4.160412,5.216900
54,0,0.020823,1.092933,0.287228,0.001634,1.167266,7.688756,15.784703,29.861139,0.293904,0.751912,0.256918,4.646332,5.895140
55,0,0.027948,0.908595,0.080724,0.001340,0.980097,9.086930,15.747085,30.792481,0.321488,0.516321,0.027649,4.563231,4.921121
56,0,0.022349,1.153239,0.090547,0.001516,1.245302,8.227603,15.586628,29.957438,0.406494,0.830427,0.040754,4.435027,5.660402
57,0,0.046612,0.898297,0.073180,0.001577,0.973054,8.208256,15.562156,30.841025,0.506259,0.575948,0.038116,5.492899,6.014470
58,0,0.022973,0.941476,0.112398,0.001514,1.055388,8.115118,15.717357,30.225480,0.244022,0.615795,0.098948,4.972497,5.919403
59,0,0.023715,1.111528,0.131899,0.002193,1.219016,7.938025,15.725772,30.431011,0.425388,0.739547,0.070071,5.040126,6.257241
60,0,0.024432,0.974686,0.146764,0.002414,1.076263,7.355345,15.637777,30.465446,0.302533,0.516285,0.111934,5.983173,6.401273
61,0,0.027652,1.405293,0.219233,0.002838,1.627088,6.626620,15.711916,30.295986,0.384447,0.633439,0.026062,5.873458,6.717468
62,0,0.026475,0.969151,0.131346,0.002339,1.102836,5.187965,15.852231,30.145920,0.281045,0.480810,0.033313,7.666449,8.082629
63,0,0.024696,0.711756,0.068257,0.001827,0.771222,8.155656,15.615804,30.914233,0.208685,0.438912,0.014628,6.013875,6.643993
64,0,0.022226,1.008918,0.076895,0.001797,1.087141,8.407232,15.649827,30.069746,0.293510,0.629119,0.033845,4.573399,5.514920
65,0,0.025074,0.885656,0.063619,0.001499,0.947633,7.491167,16.582645,30.899776,0.344378,0.401844,0.030766,5.487909,5.981170
66,0,0.020541,1.145038,0.080156,0.001864,1.193733,6.691747,15.568198,29.948737,0.264314,0.799119,0.043802,6.126359,7.180850
67,0,0.035604,0.678782,0.043740,0.001202,0.723629,9.533544,15.673858,30.516862,0.284690,0.282177,0.007998,4.244965,4.808867
68,0,0.032714,0.959104,0.067458,0.001339,1.027761,8.039067,15.640903,29.959045,0.328653,0.544543,0.039099,4.865586,5.398612
69,0,0.027286,0.867464,0.077948,0.001403,0.946815,7.289774,15.622565,30.882574,0.343098,0.517527,0.040096,6.581706,6.937378
70,0,0.019465,0.609634,0.056087,0.001337,0.662219,8.298713,15.589037,30.522449,0.181246,0.220337,0.016383,5.736677,6.144781
71,0,0.021166,1.109249,0.077064,0.001736,1.188049,7.198514,16.519164,30.763251,0.401374,0.698393,0.041929,5.309038,6.302473
72,0,0.022531,0.668875,0.065578,0.001215,0.735668,7.269228,15.735566,30.200471,0.238113,0.257770,0.037486,6.170442,6.420082
73,0,0.024055,0.952743,0.130814,0.004837,1.088394,7.739389,15.647210,29.677008,0.302885,0.554982,0.090096,4.733718,5.350796
74,0,0.025005,0.675187,0.073314,0.001230,0.749731,8.889875,15.579422,30.880000,0.241301,0.299053,0.037624,5.367464,5.609932
75,0,0.027158,0.915348,0.109077,0.001507,1.025932,7.858560,15.651344,30.186480,0.353270,0.592442,0.040438,5.232968,5.592102
76,0,0.021927,0.881243,0.154825,0.002789,1.038133,6.315800,16.429850,30.974446,0.245770,0.493210,0.073314,6.826913,7.109557
77,0,0.022286,0.597989,0.047569,0.001125,0.646641,8.863053,15.537436,29.747142,0.299252,0.241794,0.009928,4.348710,4.873996
78,0,0.018964,0.498501,0.053483,0.001252,0.553236,9.104912,15.759853,30.365903,0.200515,0.152448,0.024884,4.709745,5.073405
79,0,0.020523,0.683997,0.042187,0.001126,0.727205,8.943470,16.512694,30.453471,0.168564,0.267680,0.009957,4.055985,4.492379
80,0,0.023655,0.760062,0.103860,0.002226,0.866148,6.734967,15.392552,29.851735,0.236473,0.436369,0.083742,6.536348,6.807688
81,0,0.029998,1.005189,0.094460,0.001970,1.101619,5.355719,16.399125,30.706786,0.318837,0.499986,0.039077,7.440795,7.781321
82,0,0.026992,0.960933,0.086404,0.001749,1.049086,5.756292,16.542429,30.517885,0.338789,0.564487,0.047922,6.763221,7.106331
83,0,0.055335,1.103517,0.086426,0.001632,1.191575,8.032468,15.738263,30.917152,0.467761,0.667244,0.031385,5.381771,6.210961
84,0,0.027312,0.486037,0.061428,0.001205,0.533941,6.267791,16.496832,30.502648,0.170384,0.126090,0.028003,6.973370,7.280547
85,0,0.022427,0.520868,0.051711,0.001232,0.571530,7.717087,15.482514,29.868532,0.171657,0.124001,0.003645,5.844285,6.134092
86,0,0.023192,0.516865,0.048707,0.001128,0.566700,9.879330,15.479451,30.815139,0.235987,0.239282,0.012593,4.612531,5.025680
87,0,0.023900,0.705621,0.063893,0.001378,0.770752,7.662405,15.619407,30.671290,0.248756,0.324841,0.030701,6.314116,6.566942
88,0,0.022848,0.866231,0.066503,0.001360,0.934094,8.718360,15.563911,29.866120,0.321945,0.604187,0.040214,4.280821,5.126482
89,0,0.024121,0.714424,0.064919,0.001699,0.781042,7.931407,15.728495,30.470591,0.331355,0.306697,0.033173,5.611211,5.985362
