iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.937236,43.244202,0.196488,0.011135,43.451825,75.957133,15.808067,136.154965
2,0,0.020021,37.162928,0.242493,0.008554,37.413975,25.292945,12.968432,75.695925
3,0,0.028192,31.656346,0.208050,0.007098,31.871494,29.655138,13.011049,74.566403
4,0,0.021229,31.563819,0.234723,0.006997,31.805539,30.509204,12.785840,75.122341
5,0,0.024173,34.855274,0.266080,0.008963,35.130317,30.035634,9.798254,74.989109
6,0,0.025579,33.331057,0.242482,0.007439,33.580978,28.636112,14.002988,76.246181
7,0,0.024520,34.733398,0.230406,0.043158,35.006962,31.705336,7.964301,74.701806
8,0,0.023476,39.294273,0.264105,0.007556,39.565934,25.918962,9.740133,75.249036
9,0,0.024878,37.225045,0.203873,0.007943,37.436861,25.410761,12.863620,75.736666
10,0,0.020894,33.533807,0.223111,0.007232,33.764150,24.887524,15.945190,74.618386
11,0,0.019395,33.886871,0.217302,0.007608,34.111781,26.119064,15.723474,75.974299
12,0,0.022358,29.234099,0.218092,0.008201,29.460392,25.898708,3.751679,59.133540
13,0,0.012599,32.001113,0.225958,0.007592,32.234663,24.324904,3.864102,60.436705
14,0,0.012647,31.041964,0.202984,0.007821,31.252769,25.520338,3.728458,60.514832
15,0,0.013105,31.733401,0.297419,0.007252,32.038072,25.342956,2.697938,60.092673
16,0,0.013046,31.685704,0.211021,0.006826,31.903551,23.645877,4.572057,60.135038
17,0,0.010758,32.744992,0.223997,0.008196,32.977185,24.256120,2.691900,59.936473
18,0,0.012923,31.573057,0.360507,0.014931,31.948495,22.264777,6.681391,60.907948
19,0,0.015643,30.124225,0.275230,0.007434,30.406889,22.765725,6.741991,59.930968
20,0,0.013064,29.504979,0.257628,0.007899,29.770506,25.354135,4.670838,59.809193
21,0,0.013227,31.749060,0.226691,0.006923,31.982674,26.292496,1.729413,60.018276
22,0,0.011015,31.561744,0.242791,0.006518,31.811053,25.946082,2.685693,60.454434
23,0,0.012193,34.639202,0.174621,0.007280,34.821103,30.263180,10.622738,75.719825
24,0,0.021790,30.806217,0.201123,0.007744,31.015084,24.062426,4.593389,59.693264
