metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,19.438054,0.023792,0.006952,0.819155
ants_advance,817,25174.192190,30.812965,23.361867,62.295609
evaporation,817,246.381298,0.301568,0.180058,5.799160
update,817,9.169302,0.011223,0.006054,0.426300
advance_total,817,25429.742790,31.125756,23.651369,64.011367
render,817,33849.294845,41.431205,22.759708,99.930906
blit,817,6894.384968,8.438660,0.477016,16.875606
iteration_total,817,66193.299654,81.019951,58.294678,135.626458

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
