metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,14.030054,0.017173,0.006473,0.610282
ants_advance,817,34300.234639,41.983151,35.364276,75.662533
evaporation,817,162.458862,0.198848,0.114196,0.782773
update,817,4.551869,0.005571,0.004071,0.080488
advance_total,817,34467.245370,42.187571,35.621388,75.933710
render,817,28600.602022,35.006857,21.117813,80.877974
blit,817,6779.322112,8.297824,0.451670,16.825943
iteration_total,817,69861.617598,85.509936,72.979881,136.388137

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
