iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.610282,52.268969,0.246832,0.006403,52.522204,62.672677,16.825943,132.631593
2,0,0.016580,41.437511,0.214315,0.005125,41.656951,24.937260,7.597524,74.208773
3,0,0.017217,46.157982,0.194672,0.005021,46.357675,25.887792,3.437130,75.700351
4,0,0.011319,41.747826,0.238561,0.005873,41.992260,21.966363,11.555628,75.526293
5,0,0.017196,42.981221,0.180565,0.005016,43.166802,22.991374,9.668220,75.844010
6,0,0.040034,46.562807,0.202875,0.005513,46.771195,23.057388,4.570096,74.439327
7,0,0.010821,40.539718,0.276812,0.004939,40.821469,22.645465,12.723589,76.201902
8,0,0.018041,40.295550,0.310958,0.007050,40.613558,21.954784,12.804949,75.391935
9,0,0.019005,43.161935,0.223589,0.005868,43.391392,23.234373,8.683711,75.328851
10,0,0.016787,42.966616,0.268176,0.004741,43.239533,23.247744,8.772079,75.276539
11,0,0.015229,46.537111,0.226080,0.005035,46.768226,24.817726,4.669134,76.270667
12,0,0.013108,40.977827,0.150494,0.004659,41.132980,21.941858,11.725883,74.814322
13,0,0.018667,40.556597,0.225910,0.005178,40.787685,22.061158,12.806886,75.674890
14,0,0.020771,45.579555,0.241138,0.004344,45.825037,25.142349,3.765178,74.753804
15,0,0.012294,44.851818,0.207304,0.005013,45.064135,23.129897,7.603369,75.810141
16,0,0.009933,46.355956,0.241267,0.006783,46.604006,22.365894,5.691604,74.671978
17,0,0.011530,41.910210,0.234453,0.023589,42.168252,22.552720,11.728606,76.461534
18,0,0.018830,42.760687,0.204999,0.005679,42.971365,22.794365,8.713695,74.498751
19,0,0.013738,43.417817,0.198574,0.004929,43.621320,21.903926,9.821565,75.361128
20,0,0.016381,41.536587,0.148888,0.004936,41.690411,22.856730,11.625067,76.188999
21,0,0.017504,46.182622,0.160118,0.004799,46.347539,21.121356,7.825906,75.312734
22,0,0.015467,41.003239,0.128980,0.004956,41.137175,21.468526,12.671821,75.293582
23,0,0.017422,39.895234,0.167909,0.005174,40.068317,21.200025,14.598303,75.884865
24,0,0.017678,39.384661,0.139927,0.005254,39.529842,21.974134,14.624768,76.146801
25,0,0.016530,40.870308,0.267938,0.007477,41.145723,23.784538,9.558134,74.505359
26,0,0.016356,41.680479,0.179961,0.004852,41.865292,21.801910,11.541026,75.225093
27,0,0.017623,41.389518,0.233660,0.004151,41.627329,21.861560,11.555996,75.062949
28,0,0.016033,39.888819,0.181552,0.004317,40.074688,21.929743,12.690043,74.711187
29,0,0.016746,39.222304,0.208364,0.004952,39.435620,23.070644,12.539153,75.062594
30,0,0.018803,42.893855,0.155602,0.005494,43.054951,21.485046,10.686047,75.245453
31,0,0.016335,45.096416,0.170071,0.005170,45.271657,22.482689,7.456556,75.227818
32,0,0.009422,41.532002,0.265276,0.007086,41.804364,21.441774,12.620831,75.877142
33,0,0.019606,40.583598,0.249005,0.004990,40.837593,22.402790,11.701581,74.962503
34,0,0.019249,42.981487,0.212950,0.004624,43.199061,21.815712,9.688040,74.722672
35,0,0.014937,44.606223,0.243325,0.007907,44.857455,21.415679,8.495881,74.784691
36,0,0.009702,41.877345,0.179436,0.005503,42.062284,21.575436,11.635183,75.283316
37,0,0.016894,46.541465,0.189320,0.004858,46.735643,23.415545,4.570436,74.739062
38,0,0.010856,39.162394,0.246499,0.005093,39.413986,22.727267,13.549406,75.701987
39,0,0.017538,41.331218,0.164653,0.005020,41.500891,21.333629,12.673268,75.525780
40,0,0.016862,43.350713,0.168804,0.004762,43.524279,24.000325,7.573611,75.115596
41,0,0.018336,40.791045,0.170465,0.004959,40.966469,21.271240,12.581066,74.837559
42,0,0.020046,44.559240,0.173358,0.005374,44.737972,22.224893,8.756147,75.739412
43,0,0.013244,42.621111,0.201362,0.005120,42.827593,24.160364,7.709503,74.711199
44,0,0.015964,41.392685,0.167762,0.004865,41.565312,21.249918,12.620533,75.452349
45,0,0.019383,41.003892,0.181455,0.004651,41.189998,22.644383,11.663039,75.517503
46,0,0.017894,38.714549,0.134748,0.004899,38.854196,23.860645,11.980886,74.714300
47,0,0.021145,46.452455,0.194145,0.005005,46.651605,26.072608,1.854921,74.600854
48,0,0.011206,43.001985,0.176458,0.005837,43.184280,25.366287,6.611660,75.173855
49,0,0.019130,51.907787,0.209958,0.005179,52.122924,25.774073,13.938572,91.855255
50,0,0.022723,48.962582,0.147970,0.004922,49.115474,24.543360,15.775956,89.458092
51,0,0.021711,46.398075,0.169345,0.004926,46.572346,27.436139,15.607588,89.638235
52,0,0.020481,48.551672,0.208443,0.004977,48.765092,23.132713,2.831945,74.750588
53,0,0.010835,49.181611,0.128414,0.005239,49.315264,23.218785,2.724193,75.269670
54,0,0.008040,42.471961,0.185523,0.005264,42.662748,23.100199,9.719394,75.490934
55,0,0.015571,47.105748,0.155453,0.005049,47.266250,23.720531,3.597009,74.600044
56,0,0.010250,49.873712,0.185962,0.004760,50.064434,23.321219,1.704698,75.101081
57,0,0.010161,43.774099,0.255904,0.005463,44.035466,24.321366,7.442272,75.809767
58,0,0.008450,44.664664,0.333228,0.007442,45.005334,24.488910,5.815994,75.319868
59,0,0.021968,47.309451,0.170060,0.005861,47.485372,25.277981,1.677010,74.462850
60,0,0.048636,48.316083,0.139469,0.004981,48.460533,25.060280,1.528102,75.097971
