iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.738705,51.945761,0.119096,0.007551,52.072408,68.068686,15.759153,136.639908
2,0,0.021747,35.397300,0.145939,0.005797,35.549036,28.573137,10.661590,74.806120
3,0,0.021694,36.570696,0.136077,0.006330,36.713103,26.608497,10.984474,74.328236
4,0,0.016917,34.087332,0.164140,0.006420,34.257892,23.785750,1.704657,59.765583
5,0,0.008074,32.385484,0.145333,0.006743,32.537560,22.954126,4.722530,60.222771
6,0,0.011366,36.191501,0.163180,0.007009,36.361690,23.496165,15.692221,75.561956
7,0,0.016632,35.834579,0.181243,0.006157,36.021979,23.720843,13.820385,73.580440
8,0,0.017940,32.596902,0.138717,0.005883,32.741502,22.381732,4.809405,59.951047
9,0,0.020064,34.338675,0.159362,0.006134,34.504171,23.835268,0.590074,58.950106
10,0,0.008658,35.778809,0.218821,0.007659,36.005289,25.276392,14.666843,75.957934
11,0,0.020754,31.288043,0.160398,0.005896,31.454337,24.400391,3.573879,59.449927
12,0,0.014001,34.161586,0.157220,0.005933,34.324739,26.293594,15.779930,76.412727
13,0,0.020705,33.472182,0.143289,0.006239,33.621710,22.983847,2.862103,59.488909
14,0,0.011566,33.161758,0.124941,0.006195,33.292894,23.646337,2.806955,59.758141
15,0,0.010755,32.414558,0.201022,0.006598,32.622178,24.553192,2.696507,59.883130
16,0,0.011458,31.899383,0.151135,0.006046,32.056564,22.577906,5.671804,60.318116
17,0,0.013735,33.279316,0.161128,0.005806,33.446250,24.350494,1.652563,59.463788
18,0,0.009720,34.189083,0.136673,0.006294,34.332050,22.545058,2.655261,59.542460
19,0,0.018413,31.853125,0.158450,0.006291,32.017866,23.617832,4.574438,60.229002
20,0,0.012101,31.841782,0.141837,0.005869,31.989488,26.388085,1.622009,60.012106
21,0,0.012941,32.826409,0.164146,0.006100,32.996655,25.747329,1.633103,60.390627
22,0,0.010662,31.717748,0.133437,0.005841,31.857026,22.758593,4.754939,59.381690
23,0,0.013126,31.449931,0.267914,0.005657,31.723502,22.581270,6.779506,61.097849
24,0,0.012728,31.649537,0.139870,0.006216,31.795623,24.171075,3.665372,59.645424
25,0,0.014365,33.053706,0.174504,0.006449,33.234659,23.218698,3.587941,60.056007
26,0,0.011153,34.609203,0.168645,0.006326,34.784174,21.446988,4.657116,60.899997
27,0,0.023049,31.464574,0.160749,0.005276,31.630599,23.564918,4.674662,59.893705
28,0,0.010756,29.028439,0.147324,0.006726,29.182489,24.063345,8.620971,61.878014
29,0,0.019662,30.983334,0.264585,0.007307,31.255226,22.911632,5.726049,59.913145
30,0,0.011837,35.437383,0.119112,0.006730,35.563225,23.329121,0.690975,59.595594
31,0,0.007899,31.907600,0.153637,0.006085,32.067322,22.993084,5.658291,60.726966
32,0,0.012234,37.316967,0.177502,0.006343,37.500812,23.671064,14.920431,76.104888
33,0,0.020641,32.621989,0.162263,0.005924,32.790176,25.295780,1.805279,59.912299
34,0,0.009744,35.311079,0.136280,0.006104,35.453463,24.179832,16.650573,76.293977
35,0,0.018576,29.677600,0.133384,0.006437,29.817421,24.177807,5.539763,59.554042
36,0,0.015100,36.779482,0.154153,0.005866,36.939501,25.453681,12.710891,75.119606
37,0,0.017754,29.702961,0.199880,0.007477,29.910318,24.674585,4.575442,59.178462
38,0,0.015320,32.801045,0.133924,0.006452,32.941421,24.897919,2.666793,60.522000
39,0,0.010831,34.602582,0.155225,0.006159,34.763966,22.048194,3.636228,60.459695
40,0,0.011021,29.999806,0.137867,0.006551,30.144224,25.596938,4.066578,59.819312
41,0,0.009892,37.022030,0.200165,0.007782,37.229977,21.407249,1.672088,60.319713
42,0,0.009875,35.000390,0.150750,0.005989,35.157129,25.609847,14.858642,75.635987
43,0,0.017942,39.301149,0.162088,0.007860,39.471097,24.837520,12.661399,76.988513
44,0,0.018333,34.893540,0.200261,0.005818,35.099619,22.945603,0.651480,58.715683
45,0,0.006846,32.695267,0.195539,0.005809,32.896615,25.771832,2.599664,61.275601
46,0,0.010153,35.647548,0.141373,0.006141,35.795062,24.104574,15.694643,75.604981
47,0,0.028413,33.862938,0.140986,0.006277,34.010201,23.650948,1.757181,59.447359
48,0,0.010836,36.480590,0.157624,0.006352,36.644566,22.576373,1.620893,60.853024
49,0,0.011840,33.982225,0.157681,0.006509,34.146415,24.226200,1.717923,60.103012
50,0,0.013236,33.561860,0.152812,0.006207,33.720879,22.754036,3.805156,60.293666
51,0,0.014302,36.523839,0.173756,0.011178,36.708773,26.513622,12.702485,75.939553
52,0,0.021668,34.286866,0.129291,0.006802,34.422959,24.581914,15.800000,74.826893
53,0,0.018889,35.858072,0.158400,0.006409,36.022881,24.436010,14.857548,75.335775
54,0,0.018825,35.038963,0.220008,0.008239,35.267210,22.549409,1.612461,59.448351
55,0,0.010564,36.111520,0.154339,0.006022,36.271881,24.577755,14.791440,75.652261
56,0,0.024273,35.186344,0.156573,0.006057,35.348974,23.836069,0.897106,60.106904
57,0,0.007023,37.103557,0.169495,0.006205,37.279257,26.018145,12.759967,76.064958
58,0,0.018437,34.007255,0.145813,0.005881,34.158949,23.405032,2.926217,60.509020
59,0,0.011629,36.409919,0.158526,0.005823,36.574268,26.327064,12.736016,75.649566
60,0,0.018152,37.407146,0.181120,0.006082,37.594348,25.398869,11.805125,74.816972
61,0,0.343829,39.592396,0.142954,0.013017,39.748367,26.731443,8.789895,75.614101
62,0,0.017222,36.420738,0.249959,0.006105,36.676802,22.686370,16.745236,76.126090
63,0,0.022678,38.874405,0.195222,0.009593,39.079220,22.016365,13.665108,74.783907
64,0,0.022617,35.640952,0.159134,0.006189,35.806275,23.157607,0.573085,59.560252
65,0,0.008897,41.828837,0.393370,0.006939,42.229146,23.166056,9.886625,75.291231
66,0,0.016217,36.983759,0.190554,0.006273,37.180586,25.983793,11.744548,74.925771
67,0,0.018393,40.180710,0.327575,0.006386,40.514671,24.345321,11.031643,75.910546
68,0,0.019837,34.873620,0.224313,0.006282,35.104215,25.162957,14.944472,75.232031
69,0,0.021080,38.965821,0.245688,0.006144,39.217653,23.317226,13.833491,76.390032
70,0,0.044355,32.815046,0.291716,0.006581,33.113343,23.849911,2.033815,59.041839
71,0,0.013273,46.000053,0.270528,0.005890,46.276471,31.397702,13.916483,91.604348
72,0,0.019166,43.518203,0.259746,0.006397,43.784346,23.470651,7.265099,74.539691
73,0,0.014775,41.744327,0.242553,0.006008,41.992888,26.257600,7.601529,75.867331
74,0,0.014425,31.336372,0.470579,0.006968,31.813919,23.055110,5.568150,60.452447
75,0,0.008770,36.788734,0.551190,0.007581,37.347505,22.806753,15.555215,75.718802
76,0,0.021420,41.459785,0.285255,0.006922,41.751962,21.907129,11.658740,75.339652
77,0,0.016797,44.952105,0.247747,0.007075,45.206927,21.463312,8.552748,75.240272
78,0,0.016137,38.917735,0.220337,0.006583,39.144655,22.201025,12.757074,74.119472
79,0,0.021667,30.682554,0.233888,0.006806,30.923248,21.100301,7.725489,59.771241
80,0,0.021795,37.238996,0.244980,0.006786,37.490762,21.890086,0.590283,59.993435
81,0,0.008220,39.085636,0.201617,0.006726,39.293979,22.808401,14.606028,76.717165
82,0,0.029081,39.319246,0.302702,0.006779,39.628727,22.532653,12.400322,74.591334
83,0,0.019758,39.328561,0.241733,0.006094,39.576388,21.989644,15.675340,77.261498
84,0,0.018760,39.717175,0.298752,0.008787,40.024714,22.742608,11.724303,74.510805
85,0,0.015505,35.896496,0.166184,0.007648,36.070328,22.941683,0.507976,59.536153
86,0,0.007115,29.415407,0.171166,0.006155,29.592728,22.984059,8.531174,61.115503
87,0,0.012789,30.104595,0.143292,0.006002,30.253889,23.726232,6.563710,60.557103
88,0,0.012419,28.408554,0.208874,0.006621,28.624049,23.926980,7.727551,60.291448
89,0,0.013706,27.603468,0.254670,0.006207,27.864345,24.244694,7.607184,59.730362
90,0,0.013730,32.199576,0.196722,0.006080,32.402378,25.440154,2.711016,60.567694
91,0,0.014590,36.956192,0.206591,0.006275,37.169058,23.584331,14.975937,75.744419
92,0,0.024161,31.958380,0.194842,0.005474,32.158696,25.030010,1.709099,58.922406
93,0,0.016621,32.914522,0.163254,0.006463,33.084239,22.011377,4.627125,59.739843
94,0,0.010078,34.392079,0.173497,0.006330,34.571906,23.193218,2.662530,60.438178
95,0,0.009809,33.422642,0.154097,0.006170,33.582909,21.471872,5.680773,60.745863
96,0,0.012019,33.812628,0.278094,0.006133,34.096855,24.650922,0.613318,59.373764
97,0,0.007483,36.194630,0.159551,0.006504,36.360685,22.199136,3.624701,62.192749
98,0,0.011971,32.032869,0.149680,0.005839,32.188388,23.795623,3.643492,59.639873
99,0,0.011557,33.154642,0.201402,0.008337,33.364381,22.605215,4.768714,60.750333
100,0,0.013011,35.069343,0.181674,0.006143,35.257160,22.894941,1.863936,60.029549
101,0,0.010520,28.627665,0.169853,0.006319,28.803837,22.897263,8.661383,60.373786
102,0,0.018880,30.027712,0.229166,0.006000,30.262878,23.111239,7.499913,60.893402
103,0,0.010701,30.926262,0.130652,0.006712,31.063626,23.889296,4.684993,59.649051
104,0,0.009822,30.838051,0.316402,0.007374,31.161827,26.430789,2.700407,60.303194
105,0,0.013415,35.156687,0.154682,0.006326,35.317695,27.614384,12.986336,75.932467
106,0,0.022545,38.582287,0.207131,0.005976,38.795394,24.157343,12.748192,75.723896
107,0,0.018310,34.509064,0.182355,0.006041,34.697460,25.597703,14.113011,74.427276
108,0,0.042745,33.753358,0.168919,0.005979,33.928256,26.012070,14.939327,74.922801
109,0,0.020787,30.662696,0.142282,0.006460,30.811438,24.050016,4.635492,59.518133
110,0,0.010769,33.363650,0.147972,0.006878,33.518500,23.594483,3.660555,60.784984
111,0,0.045065,38.213016,0.151234,0.006196,38.370446,27.860627,8.766270,75.043207
112,0,0.013930,30.572538,0.181477,0.006404,30.760419,25.389185,5.631223,61.795231
113,0,0.010966,33.154531,0.210459,0.006274,33.371264,25.846847,15.882933,75.112620
114,0,0.020926,33.538620,0.156361,0.006745,33.701726,27.045828,14.827231,75.596187
115,0,0.022239,34.284931,0.199776,0.005638,34.490345,25.150254,15.752228,75.415625
116,0,0.023911,55.032023,0.176127,0.006001,55.214151,29.170033,5.883325,90.291869
117,0,0.015495,33.142244,0.145634,0.006185,33.294063,24.137473,2.777185,60.224972
118,0,0.026446,32.169692,0.132627,0.007420,32.309739,24.000286,3.809632,60.146631
119,0,0.017236,33.851456,0.177450,0.006767,34.035673,24.444766,1.707449,60.205495
120,0,0.009756,33.961952,0.160396,0.006440,34.128788,27.491991,13.777310,75.408209
121,0,0.021797,34.374722,0.125052,0.006043,34.505817,28.253171,11.881446,74.662764
122,0,0.020809,36.291667,0.129882,0.005991,36.427540,27.398917,11.688457,75.536111
123,0,0.021600,36.399226,0.125484,0.005889,36.530599,25.789733,12.903215,75.245792
124,0,0.020314,33.623609,0.137791,0.006081,33.767481,26.680917,14.785897,75.255997
125,0,0.022330,34.173614,0.160422,0.006166,34.340202,24.453321,1.676761,60.493210
126,0,0.010818,31.182004,0.145880,0.006389,31.334273,24.258238,4.722559,60.326460
127,0,0.009957,34.005259,0.271431,0.008352,34.285042,24.719779,1.635279,60.650513
128,0,0.007248,30.893196,0.174494,0.007042,31.074732,24.348750,4.580063,60.011363
129,0,0.022901,34.428941,0.165506,0.006056,34.600503,25.648066,15.868471,76.140482
130,0,0.021498,38.659732,0.167548,0.005922,38.833202,28.230166,7.822791,74.908126
131,0,0.023857,32.695146,0.164703,0.005849,32.865698,23.995067,2.848148,59.733305
132,0,0.009393,33.592300,0.160645,0.005833,33.758778,26.240000,0.652544,60.661090
133,0,0.007865,34.325419,0.131232,0.006405,34.463056,22.005332,3.690743,60.167362
134,0,0.011301,31.875218,0.160655,0.006114,32.041987,22.539683,4.712867,59.306423
135,0,0.018095,34.303469,0.160149,0.006099,34.469717,28.360700,13.700456,76.549568
136,0,0.023513,37.197991,0.185438,0.005968,37.389397,25.796398,11.845250,75.055011
137,0,0.024851,33.997782,0.524905,0.010774,34.533461,28.595558,11.744320,74.898700
138,0,0.036567,32.608817,0.168365,0.005845,32.783027,27.185544,16.054538,76.060425
139,0,0.025565,43.238057,0.181970,0.005952,43.425979,28.222870,4.027438,75.702392
140,0,0.023881,34.182479,0.152978,0.006269,34.341726,24.561642,1.107278,60.034985
141,0,0.008292,47.924576,0.209565,0.006684,48.140825,25.012073,2.195481,75.357351
142,0,0.011006,31.449153,0.197593,0.006586,31.653332,24.286442,3.965469,59.916611
143,0,0.019635,34.540490,0.214222,0.006133,34.760845,23.426157,2.705343,60.912595
144,0,0.012734,34.595580,0.178532,0.006295,34.780407,21.870615,3.707380,60.371883
145,0,0.010139,37.834762,0.298378,0.006183,38.139323,25.226878,12.564087,75.941052
146,0,0.019451,31.051959,0.286880,0.006634,31.345473,27.595795,16.064340,75.025562
