iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.106950,43.566536,0.305057,0.008562,43.880155,75.663091,15.929208,136.580423
2,0,0.020550,28.651245,0.307878,0.009307,28.968430,26.587435,3.682096,59.259225
3,0,0.017764,35.125600,0.319019,0.007717,35.452336,25.467995,15.076471,76.015166
4,0,0.022411,29.579033,0.280357,0.007038,29.866428,28.961120,16.750560,75.601436
5,0,0.036896,31.417476,0.357112,0.008286,31.782874,29.788346,12.757113,74.366140
6,0,0.036844,34.899576,0.327996,0.008385,35.235957,28.483569,10.740291,74.497753
7,0,0.042315,30.448123,0.269441,0.008805,30.726369,33.043143,11.718351,75.530910
8,0,0.037585,36.036874,0.252336,0.008179,36.297389,29.834875,8.800790,74.971389
9,0,0.030254,31.955830,0.240297,0.007353,32.203480,27.061119,15.891838,75.187207
10,0,0.035148,31.285289,0.211721,0.007784,31.504794,28.050495,15.885291,75.476729
11,0,0.023566,35.364226,0.201106,0.007056,35.572388,46.369173,9.197485,91.163183
12,0,0.026589,43.879148,0.220919,0.007710,44.107777,28.320642,2.678216,75.134281
13,0,0.017010,34.120807,0.194500,0.007083,34.322390,30.863725,10.686892,75.890930
14,0,0.034189,36.364925,0.260964,0.009159,36.635048,36.170372,1.723915,74.564157
15,0,0.010605,33.751269,0.229612,0.008354,33.989235,29.809664,11.788261,75.598614
16,0,0.032515,34.434841,0.270718,0.008763,34.714322,31.254395,8.755506,74.757630
17,0,0.040524,34.996720,0.250297,0.007645,35.254662,28.234925,12.756690,76.287421
18,0,0.019390,28.139898,0.217454,0.007814,28.365166,25.546282,5.685387,59.616712
19,0,0.010789,28.926500,0.198817,0.007338,29.132655,23.447296,6.649706,59.240927
20,0,0.023594,25.579042,0.280574,0.007338,25.866954,23.798124,10.781297,60.470970
21,0,0.036475,31.762044,0.258875,0.006916,32.027835,24.288229,2.730581,59.083575
22,0,0.011467,31.602393,0.199726,0.006517,31.808636,27.894773,1.099337,60.814734
23,0,0.013277,31.007741,0.298734,0.006253,31.312728,24.245199,4.866229,60.437972
24,0,0.014328,28.437137,0.253344,0.007957,28.698438,22.885916,8.731006,60.330643
25,0,0.019062,29.780746,0.204261,0.008374,29.993381,27.136395,3.762786,60.912068
26,0,0.013509,28.125517,0.269230,0.007305,28.402052,26.880700,4.713288,60.010332
27,0,0.018787,31.354674,0.213391,0.007035,31.575100,24.008551,4.629783,60.233001
28,0,0.020351,28.255761,0.280808,0.006832,28.543401,27.923491,3.712649,60.200351
29,0,0.010509,26.991804,0.205508,0.006964,27.204276,23.748271,9.576847,60.540408
30,0,0.022557,29.366266,0.254513,0.008328,29.629107,23.093461,6.779059,59.524837
31,0,0.012725,27.297458,0.234870,0.007072,27.539400,24.019491,8.731974,60.304108
32,0,0.018052,29.388090,0.225128,0.008894,29.622112,22.667444,8.577077,60.885244
33,0,0.017830,30.382447,0.222863,0.007281,30.612591,25.406110,3.885635,59.922782
34,0,0.015661,29.202553,0.212489,0.008000,29.423042,21.632140,7.609367,58.680838
35,0,0.018116,28.513230,0.252841,0.007356,28.773427,25.608743,5.875520,60.276364
36,0,0.021755,31.028641,0.387132,0.006238,31.422011,23.779622,4.850345,60.074100
37,0,0.024286,33.216979,0.320731,0.007438,33.545148,24.123307,2.674115,60.367517
38,0,0.020280,29.409653,0.235488,0.008309,29.653450,28.978026,1.731340,60.383587
39,0,0.010480,28.519494,0.212897,0.007702,28.740093,29.645172,1.864139,60.260314
40,0,0.013174,28.961511,0.194488,0.007338,29.163337,25.325447,5.704572,60.207305
41,0,0.016918,31.765322,0.203795,0.007405,31.976522,24.825558,3.766188,60.585785
42,0,0.013766,33.534536,0.199391,0.008105,33.742032,26.028077,16.933615,76.718133
43,0,0.024705,38.415883,0.193637,0.015993,38.625513,25.975903,9.913074,74.539899
44,0,0.078425,33.328121,0.216604,0.008161,33.552886,28.909852,12.996675,75.538384
