iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.147377,38.113433,0.185195,0.019312,38.317940,68.407634,15.710175,123.584099
2,0,0.021461,33.784277,0.285454,0.007778,34.077509,27.630890,12.731040,74.461529
3,0,0.019091,30.362632,0.336983,0.006413,30.706028,27.616036,1.158793,59.500593
4,0,0.014117,32.487475,0.282407,0.006767,32.776649,27.346370,15.038999,75.176954
5,0,0.025676,29.831599,0.253727,0.008524,30.093850,26.967247,2.086393,59.173688
6,0,0.019067,31.462270,0.223564,0.007394,31.693228,22.607753,5.834484,60.155234
7,0,0.023786,32.224672,0.385251,0.007912,32.617835,29.142260,14.014059,75.798571
8,0,0.167188,33.054472,0.239864,0.008488,33.302824,25.355284,16.147353,74.973063
9,0,0.020489,32.741956,0.222322,0.007822,32.972100,27.552547,13.626848,74.172645
10,0,0.022446,31.301603,0.243900,0.015560,31.561063,27.035967,0.845294,59.465164
11,0,0.011654,33.974232,0.224345,0.008059,34.206636,26.977700,14.622473,75.819057
12,0,0.022713,35.569646,0.237695,0.007655,35.814996,27.493264,12.110242,75.441861
13,0,0.019507,31.084818,0.204876,0.007871,31.297565,26.544809,0.862781,58.725257
14,0,0.009548,36.927242,0.209587,0.009792,37.146621,28.682993,8.920588,74.760325
15,0,0.022552,35.712288,0.207730,0.012528,35.932546,26.658082,12.067570,74.681385
16,0,0.017820,31.960087,0.212007,0.007532,32.179626,25.090630,2.552178,59.840711
17,0,0.014005,32.240282,0.204751,0.007566,32.452599,26.007041,0.687478,59.161746
18,0,0.008612,38.063602,0.217444,0.008493,38.289539,25.893483,12.036221,76.228200
19,0,0.017667,34.206413,0.187939,0.007873,34.402225,26.602834,14.050915,75.074230
20,0,0.020580,31.218041,0.210221,0.006391,31.434653,26.015699,0.732611,58.204066
21,0,0.011628,34.109560,0.209179,0.007630,34.326369,27.793808,14.053359,76.185978
22,0,0.019039,31.572990,0.205881,0.007370,31.786241,24.218376,3.679651,59.703797
23,0,0.019420,37.087172,0.224019,0.007798,37.318989,25.895074,11.770215,75.004231
24,0,0.017002,32.320340,0.215451,0.007723,32.543514,43.218078,14.393938,90.173073
25,0,0.018709,36.157067,0.190727,0.007902,36.355696,23.115150,16.102790,75.592975
26,0,0.019566,35.750432,0.215082,0.007460,35.972974,22.853350,16.219838,75.066301
27,0,0.019360,30.291590,0.210603,0.007677,30.509870,23.910297,5.092114,59.532375
28,0,0.028506,35.483184,0.230999,0.009194,35.723377,25.500836,13.180761,74.434019
29,0,0.020793,32.288294,0.310586,0.008222,32.607102,29.061435,12.746023,74.436284
30,0,0.036034,35.577416,0.258181,0.007852,35.843449,28.784824,10.165590,74.830482
31,0,0.020053,28.800111,0.245065,0.008534,29.053710,25.296530,5.161609,59.532377
32,0,0.017401,31.504061,0.236055,0.008369,31.748485,24.791262,2.589180,59.146880
33,0,0.009529,34.494742,0.257956,0.007370,34.760068,25.569625,15.899233,76.239060
34,0,0.019573,33.734477,0.219843,0.007887,33.962207,29.228338,11.562355,74.772995
35,0,0.017169,32.722421,0.206177,0.007683,32.936281,28.183683,13.709654,74.847372
36,0,0.020671,35.158958,0.249425,0.006913,35.415296,23.949195,15.254116,74.639676
37,0,0.023829,36.455343,0.201304,0.007882,36.664529,28.137542,9.724626,74.551050
38,0,0.019519,32.465082,0.226486,0.006876,32.698444,26.438778,16.723464,75.880811
39,0,0.018772,31.217505,0.221420,0.008322,31.447247,31.741285,11.756040,74.963848
40,0,0.019584,28.735352,0.217366,0.007170,28.959888,31.142190,14.584350,74.706591
41,0,0.024193,29.703945,0.354498,0.039012,30.097455,34.982066,9.160113,74.264327
42,0,0.025153,34.821114,0.280271,0.008587,35.109972,26.041021,13.576500,74.753239
43,0,0.023128,34.568506,0.227032,0.007589,34.803127,26.331515,13.608270,74.766414
44,0,0.019788,31.169687,0.207600,0.008492,31.385779,27.173930,0.677357,59.257303
45,0,0.008219,31.633051,0.238617,0.006624,31.878292,22.666600,5.706864,60.260402
46,0,0.022999,32.386986,0.252096,0.007114,32.646196,28.909339,14.064861,75.643958
47,0,0.022490,30.093459,0.200527,0.008047,30.302033,27.082898,1.096562,58.504424
48,0,0.011519,32.714637,0.219805,0.008542,32.942984,24.548310,3.167176,60.670397
49,0,0.014005,28.580103,0.215732,0.008119,28.803954,24.310393,6.703869,59.832892
50,0,0.021496,32.189579,0.206755,0.007653,32.403987,25.355513,1.710048,59.491649
51,0,0.017005,30.557468,0.211502,0.006654,30.775624,26.134829,2.523953,59.451952
52,0,0.010267,31.873811,0.219339,0.007660,32.100810,24.633357,3.703241,60.448290
53,0,0.022666,32.570586,0.204821,0.008876,32.784283,28.398614,14.980147,76.186189
54,0,0.018508,28.908961,0.201555,0.040247,29.150763,27.981584,2.548785,59.699984
55,0,0.012636,32.335680,0.220447,0.007533,32.563660,25.116696,0.895873,58.589338
56,0,0.010759,30.013873,0.203647,0.007175,30.224695,25.694154,3.921297,59.851326
57,0,0.013003,32.626621,0.201973,0.008041,32.836635,24.677762,2.684542,60.212604
58,0,0.036985,34.244227,0.320527,0.009891,34.574645,26.931228,13.826738,75.369995
59,0,0.021305,28.937881,1.018329,0.011534,29.967744,37.511302,6.854024,74.354902
60,0,0.031223,33.015420,0.266466,0.007877,33.289763,29.140780,12.618803,75.081252
61,0,0.029482,31.447182,0.207137,0.011691,31.666010,27.036261,16.556618,75.288943
62,0,0.021093,33.447351,0.269430,0.007325,33.724106,27.463965,12.829684,74.039429
63,0,0.016708,32.345288,0.241212,0.008050,32.594550,32.490060,9.883730,74.985515
64,0,0.033353,37.874650,0.182393,0.007445,38.064488,35.047684,0.646942,73.793010
65,0,0.007807,30.257784,0.227151,0.007941,30.492876,24.686552,5.632931,60.820861
66,0,0.017566,34.109308,0.213754,0.006924,34.329986,28.597896,13.089234,76.035278
67,0,0.041444,37.542159,0.228446,0.028688,37.799293,26.373250,10.738567,74.953160
68,0,0.023716,31.320183,0.205162,0.007714,31.533059,26.012389,16.667771,74.237465
69,0,0.022655,33.691597,0.253595,0.008352,33.953544,28.448152,11.562316,73.987721
70,0,0.037515,34.253805,0.200816,0.007366,34.461987,25.324397,15.784370,75.608710
71,0,0.024113,44.003028,0.228937,0.008638,44.240603,28.418703,0.513449,73.197410
72,0,0.007541,31.573746,0.270573,0.008793,31.853112,36.948574,6.744712,75.554405
73,0,0.019155,32.163147,0.227964,0.007805,32.398916,32.531806,10.782003,75.732435
74,0,0.017735,31.118376,0.213128,0.007395,31.338899,26.672495,1.120071,59.149791
75,0,0.012141,31.253154,0.203485,0.008242,31.464881,26.378029,1.760506,59.616234
76,0,0.013336,32.129909,0.208061,0.007395,32.345365,29.121335,13.756796,75.237383
77,0,0.019216,32.462129,0.216199,0.007772,32.686100,25.883836,0.635416,59.225091
78,0,0.011370,29.673587,0.214945,0.007521,29.896053,26.369629,3.712901,59.990414
79,0,0.008624,34.299412,0.231022,0.007691,34.538125,27.225099,15.109409,76.881804
80,0,0.023652,32.648252,0.212979,0.007766,32.868997,27.554006,13.666561,74.113871
81,0,0.018068,35.726135,0.314157,0.007800,36.048092,25.098653,14.642372,75.807783
82,0,0.039429,28.665877,0.208451,0.007870,28.882198,27.115544,1.536592,57.574349
83,0,0.012336,35.609150,0.211077,0.008274,35.828501,28.470987,11.684537,75.996938
84,0,0.015836,35.596946,0.188668,0.007405,35.793019,27.514837,10.888474,74.212758
85,0,0.020396,32.421441,0.199617,0.007821,32.628879,26.554427,15.976166,75.180533
86,0,0.020057,34.069204,0.283249,0.007662,34.360115,27.746972,12.966929,75.094643
87,0,0.018365,37.116261,0.360285,0.007729,37.484275,24.419908,12.718320,74.641352
