iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.813939,38.524178,0.196358,0.007820,38.728356,70.535630,15.668917,125.747760
2,0,0.017461,35.758184,0.174373,0.007708,35.940265,27.621052,11.985463,75.564833
3,0,0.038403,30.518788,0.192776,0.015494,30.727058,25.732495,3.173864,59.672474
4,0,0.017225,29.002868,0.227014,0.007581,29.237463,24.131841,6.666517,60.053728
5,0,0.021942,31.720259,0.233093,0.008864,31.962216,25.685723,2.679994,60.350480
6,0,0.012396,32.149131,0.285172,0.007544,32.441847,32.194910,10.763436,75.413456
7,0,0.021093,30.845826,0.296850,0.008174,31.150850,25.668865,2.844839,59.686711
8,0,0.020247,32.081256,0.244999,0.007994,32.334249,26.515644,0.730312,59.601256
9,0,0.008985,29.692424,0.206639,0.007663,29.906726,24.770048,5.959507,60.646036
10,0,0.025087,32.525233,0.283654,0.007163,32.816050,25.838966,1.698119,60.378902
11,0,0.012926,29.473701,0.203385,0.008446,29.685532,26.394540,3.832076,59.925670
12,0,0.014541,31.534946,0.232112,0.007848,31.774906,25.514362,2.677417,59.981920
13,0,0.009194,30.803278,0.269529,0.006220,31.079027,24.870773,5.702438,61.662260
14,0,0.018318,31.430727,0.207072,0.007584,31.645383,26.327959,1.835830,59.828253
15,0,0.011041,30.465781,0.265305,0.007827,30.738913,28.066995,16.775293,75.592937
16,0,0.020705,31.395225,0.223760,0.007626,31.626611,26.433879,0.747124,58.829023
17,0,0.009710,30.774517,0.231278,0.008063,31.013858,28.091950,1.666364,60.782482
18,0,0.016007,32.533933,0.239270,0.007635,32.780838,24.872678,1.720389,59.390720
19,0,0.008508,29.799490,0.305793,0.006390,30.111673,24.233383,6.670855,61.025100
20,0,0.022766,33.014120,0.206156,0.006875,33.227151,26.311703,15.703204,75.265510
21,0,0.019913,30.651889,0.244019,0.007927,30.903835,25.333352,3.698739,59.956460
22,0,0.011401,31.060340,0.405605,0.006312,31.472257,25.601674,2.563020,59.648989
23,0,0.017198,29.140204,0.301293,0.007593,29.449090,24.713768,6.753429,60.934092
24,0,0.014493,28.682100,0.249599,0.007663,28.939362,24.664675,6.653659,60.272911
25,0,0.015449,30.540404,0.199934,0.008039,30.748377,24.066700,5.656484,60.487666
26,0,0.014772,28.001252,0.258329,0.007466,28.267047,24.248196,7.621460,60.152035
27,0,0.015415,27.906725,0.301521,0.007331,28.215577,24.551462,7.425424,60.208516
28,0,0.014534,30.555594,0.216270,0.007677,30.779541,23.564938,6.131066,60.490729
29,0,0.011322,27.048816,0.201408,0.007137,27.257361,24.303835,9.083317,60.656452
30,0,0.019908,27.982567,0.406309,0.007223,28.396099,24.108919,6.650767,59.176688
31,0,0.019835,31.333931,0.234690,0.127890,31.696511,24.288782,3.778310,59.784150
32,0,0.016491,30.305699,0.244172,0.007938,30.557809,23.537470,6.594204,60.706679
33,0,0.019119,31.098802,0.254198,0.006511,31.359511,22.714433,5.802354,59.896069
34,0,0.011768,31.119734,0.190053,0.007851,31.317638,25.136549,3.714202,60.180793
35,0,0.014405,27.783738,0.186454,0.008438,27.978630,26.490231,5.630926,60.114784
36,0,0.016249,30.310629,0.168170,0.007998,30.486797,27.431019,2.658196,60.592871
37,0,0.011135,29.999014,0.188808,0.007026,30.194848,25.986821,3.895472,60.088984
38,0,0.017567,34.981119,0.194228,0.007657,35.183004,27.147275,13.714287,76.062998
39,0,0.024316,32.118822,0.201833,0.007913,32.328568,25.698637,0.684222,58.736500
40,0,0.007454,31.617588,0.191059,0.007070,31.815717,26.721098,1.701631,60.246696
41,0,0.011647,30.357377,0.209275,0.007312,30.573964,24.322906,5.663187,60.572428
42,0,0.021948,29.977904,0.220536,0.006959,30.205399,28.521978,1.707916,60.457830
43,0,0.013280,32.921869,0.245902,0.007473,33.175244,26.554455,15.689689,75.433371
44,0,0.021446,34.520830,0.316544,0.006333,34.843707,24.800435,0.837564,60.503788
45,0,0.008446,28.287334,0.310578,0.028003,28.625915,26.778093,3.913143,59.326260
