metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,19.222257,0.023528,0.006581,0.708243
ants_advance,817,26594.315043,32.551181,23.842686,67.229414
evaporation,817,211.713663,0.259135,0.150130,2.308121
update,817,7.262572,0.008889,0.005837,0.117906
advance_total,817,26813.291278,32.819206,24.101926,67.469775
render,817,33132.227222,40.553522,21.769287,87.476962
blit,817,6931.488397,8.484074,0.514423,16.988210
iteration_total,817,66896.768487,81.880990,58.054040,136.707049

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
