metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,21.391850,0.026183,0.007301,3.135932
ants_advance,817,24935.418480,30.520708,24.149477,59.623418
evaporation,817,204.040201,0.249743,0.161367,1.098879
update,817,7.229935,0.008849,0.005882,0.208250
advance_total,817,25146.688616,30.779301,24.352439,59.855101
render,817,33055.599159,40.459730,21.912768,79.292267
blit,817,6011.883856,7.358487,0.576570,16.861807
iteration_total,817,64236.539041,78.624895,58.230416,125.747760

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
