metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,17.999125,0.022031,0.006883,1.106950
ants_advance,817,24268.497336,29.704403,23.403953,67.587733
evaporation,817,207.162316,0.253565,0.169829,1.640715
update,817,7.374222,0.009026,0.005832,0.140233
advance_total,817,24483.033874,29.966994,23.640491,67.795145
render,817,32573.373866,39.869491,21.632140,75.663091
blit,817,6807.316353,8.332089,0.542387,16.933615
iteration_total,817,63882.218558,78.191210,58.471714,136.580423

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
