iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.819155,38.906563,0.209356,0.009302,39.125221,74.748278,16.841127,131.535710
2,0,0.022196,35.277003,0.312992,0.009623,35.599618,28.890328,9.903271,74.415864
3,0,0.023298,30.852077,0.220334,0.007831,31.080242,27.045853,0.866528,59.016434
4,0,0.008486,33.552027,0.223392,0.006435,33.781854,26.722895,15.677695,76.191571
5,0,0.033230,32.641288,0.676839,0.044692,33.362819,25.541247,14.726723,73.664751
6,0,0.026279,30.431541,0.208558,0.008692,30.648791,27.888921,0.705153,59.269624
7,0,0.010484,36.544959,0.274020,0.007603,36.826582,25.843719,13.784525,76.465928
8,0,0.022109,32.743391,0.239056,0.007719,32.990166,29.936870,12.266506,75.216233
9,0,0.021480,29.509727,0.279497,0.007897,29.797121,26.154348,3.676303,59.649699
10,0,0.018856,30.045190,0.221744,0.007436,30.274370,27.342594,1.623369,59.259639
11,0,0.015331,36.966154,0.260134,0.007907,37.234195,31.190694,7.859341,76.300289
12,0,0.024912,34.832060,0.280462,0.006941,35.119463,26.555152,13.791665,75.491891
13,0,0.023325,31.328943,0.527024,0.008738,31.864705,25.348495,2.862962,60.099997
14,0,0.027945,31.399925,0.223527,0.007657,31.631109,26.477956,1.693037,59.830933
15,0,0.011287,34.583124,0.252243,0.008714,34.844081,29.385934,11.756250,75.998323
16,0,0.023014,34.132766,0.224086,0.007582,34.364434,26.396164,13.829938,74.614061
17,0,0.022028,31.535168,0.272472,0.009023,31.816663,28.145452,15.625770,75.610659
18,0,0.024393,32.687441,0.207264,0.007929,32.902634,25.507374,15.730690,74.165711
19,0,0.032121,31.371756,0.400978,0.016654,31.789388,30.051528,12.656793,74.530337
20,0,0.022937,28.741939,0.253420,0.007522,29.002881,25.602495,4.852045,59.480773
21,0,0.015863,34.684327,0.213960,0.006596,34.904883,25.637139,15.697002,76.255603
22,0,0.028036,31.747512,0.244591,0.008170,32.000273,23.639592,3.736565,59.404946
23,0,0.029435,27.982949,0.250123,0.007091,28.240163,26.422926,5.638522,60.331596
24,0,0.017527,32.076173,0.213603,0.007599,32.297375,27.631160,15.834643,75.781306
25,0,0.024510,33.010129,0.311436,0.007569,33.329134,26.415272,14.980511,74.750068
26,0,0.024938,29.809268,0.220955,0.007474,30.037697,24.609291,5.805174,60.477862
27,0,0.024448,28.363103,0.203053,0.007907,28.574063,24.769609,6.663013,60.031597
28,0,0.020550,32.827424,0.276710,0.007138,33.111272,24.824769,1.691489,59.648447
29,0,0.015767,25.127975,0.198350,0.007996,25.334321,24.877148,10.671829,60.899613
30,0,0.020879,31.497512,0.226759,0.007569,31.731840,25.347051,2.947349,60.047629
31,0,0.021804,29.711391,0.293525,0.007223,30.012139,27.613387,1.741693,59.389435
32,0,0.012549,27.931306,0.229885,0.007857,28.169048,22.763905,9.766625,60.712710
33,0,0.023518,28.484073,2.833294,0.023243,31.340610,24.041411,3.637765,59.044023
34,0,0.019424,33.612786,0.249466,0.007488,33.869740,27.156954,14.773609,75.820317
35,0,0.027539,35.104689,0.224702,0.008312,35.337703,26.992851,12.471814,74.830379
36,0,0.021153,31.799689,0.233621,0.007946,32.041256,25.753670,1.680384,59.496974
37,0,0.011192,29.212516,0.231985,0.007425,29.451926,29.747125,0.802598,60.013239
38,0,0.013202,35.386970,0.207396,0.008201,35.602567,25.922151,13.896828,75.435325
39,0,0.023360,28.802718,0.235836,0.007926,29.046480,23.789737,7.659945,60.520075
40,0,0.024912,28.625911,0.211152,0.007798,28.844861,25.937280,5.619687,60.427225
41,0,0.021007,30.202332,0.215105,0.007918,30.425355,24.787180,4.909924,60.143940
42,0,0.022939,28.153909,0.208131,0.008042,28.370082,28.664628,2.568900,59.627108
43,0,0.012613,31.095859,0.220450,0.007863,31.324172,27.914730,1.173560,60.425547
44,0,0.010266,29.591679,0.233632,0.008490,29.833801,25.857269,4.925665,60.627569
45,0,0.015813,31.557061,0.208105,0.008257,31.773423,25.806325,1.869529,59.465605
46,0,0.011288,32.053761,0.251022,0.008026,32.312809,26.916460,0.744093,59.985125
47,0,0.008351,26.712562,0.256345,0.007902,26.976809,25.771068,7.678486,60.435090
48,0,0.012174,28.481201,0.455076,0.012747,28.949024,29.347759,0.577619,58.887212
49,0,0.008490,33.771716,0.263978,0.006905,34.042599,29.225925,12.808241,76.085784
50,0,0.025516,32.366761,0.218430,0.007989,32.593180,27.774220,14.922672,75.316050
51,0,0.027281,33.766409,0.217395,0.008110,33.991914,27.568652,12.777909,74.366251
52,0,0.019536,32.688414,0.243703,0.009060,32.941177,28.505779,14.038007,75.505349
53,0,0.023180,28.662530,0.199781,0.007554,28.869865,29.597872,0.604026,59.095495
54,0,0.007228,35.165508,3.170690,0.024730,38.360928,28.432329,8.757311,75.558351
55,0,0.029187,30.775526,0.228048,0.008647,31.012221,32.355653,12.683550,76.081300
56,0,0.024983,30.134249,0.224860,0.007922,30.367031,29.203174,16.655203,76.250970
57,0,0.025161,29.278922,0.269583,0.007432,29.555937,26.082102,3.712584,59.376239
58,0,0.020193,32.002102,0.224930,0.008127,32.235159,22.759708,4.605172,59.620757
59,0,0.025253,25.918129,0.201811,0.007343,26.127283,28.866024,5.619651,60.638619
60,0,0.017138,33.825042,0.230097,0.007793,34.062932,31.774021,9.757471,75.612154
61,0,0.021259,27.702280,0.353937,0.008114,28.064331,26.626060,3.582551,58.294678
62,0,0.024161,29.363752,0.202264,0.006622,29.572638,25.470821,5.779910,60.848011
