iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.833501,39.118864,0.261424,0.007127,39.387415,72.191695,15.754758,128.168256
2,0,0.019622,39.601796,0.247256,0.006812,39.855864,23.963405,11.698409,75.537809
3,0,0.017899,38.301304,0.185179,0.012549,38.499032,23.437941,13.692990,75.648287
4,0,0.019568,36.149352,0.195763,0.007063,36.352178,26.693999,12.814294,75.880477
5,0,0.019090,35.835276,0.235038,0.006931,36.077245,23.826604,15.689902,75.613393
6,0,0.024528,44.495080,0.306537,0.045846,44.847463,27.811269,2.665892,75.349525
7,0,0.012571,33.795287,0.214545,0.007325,34.017157,24.830732,1.639778,60.500645
8,0,0.012002,41.090037,0.219286,0.006585,41.315908,27.552085,6.746370,75.626898
9,0,0.018435,31.658481,0.121068,0.007211,31.786760,24.707611,3.698430,60.211896
10,0,0.013965,32.597425,0.210283,0.007272,32.814980,24.286808,3.626980,60.743286
11,0,0.012654,34.256408,0.253953,0.006318,34.516679,25.488945,14.702595,74.721367
12,0,0.020557,30.512822,0.295481,0.006821,30.815124,22.673468,7.736928,61.246604
13,0,0.022675,31.777530,0.220727,0.007030,32.005287,23.697661,4.749065,60.475082
14,0,0.014885,33.936206,0.264372,0.006558,34.207136,24.977462,0.610612,59.810511
15,0,0.008464,36.096681,0.167198,0.006529,36.270408,25.619245,15.088264,76.987069
16,0,0.022680,32.753709,0.225990,0.006862,32.986561,23.058240,3.775067,59.843020
17,0,0.015873,32.663456,0.188260,0.006944,32.858660,22.699083,4.633150,60.207213
18,0,0.009355,34.272776,0.305164,0.007661,34.585601,23.332076,2.667338,60.594813
19,0,0.011256,30.857780,0.322099,0.008263,31.188142,21.458045,7.699340,60.357295
20,0,0.013783,31.910771,0.134983,0.006821,32.052575,21.551881,6.705418,60.324184
21,0,0.010766,33.840080,0.561061,0.008892,34.410033,23.360919,2.747530,60.529758
22,0,0.009779,31.695782,0.247773,0.008376,31.951931,20.946258,7.712104,60.620457
23,0,0.018985,31.210824,0.185532,0.006645,31.403001,22.964987,5.630542,60.018000
24,0,0.011347,29.910781,0.350597,0.005872,30.267250,23.906473,7.179765,61.365200
25,0,0.010502,31.356506,0.317888,0.005978,31.680372,22.110650,6.733735,60.535824
26,0,0.018769,33.210515,0.318565,0.006629,33.535709,23.605474,1.916642,59.077461
27,0,0.008840,32.161100,0.274771,0.006791,32.442662,22.844369,4.815845,60.112217
28,0,0.009839,33.023840,0.138549,0.006976,33.169365,22.055212,6.889372,62.124247
29,0,0.019033,30.968641,0.245477,0.006641,31.220759,23.304104,5.607968,60.152455
30,0,0.008828,34.680072,0.164932,0.007080,34.852084,23.891960,1.563841,60.317307
31,0,0.013341,35.897703,0.421704,0.008700,36.328107,22.560908,1.658841,60.561807
32,0,0.007621,32.754071,0.247502,0.006319,33.007892,23.522056,3.716867,60.254943
33,0,0.008049,31.331351,0.338910,0.006570,31.676831,22.142448,6.550094,60.377824
34,0,0.015110,31.030501,0.303948,0.008154,31.342603,20.982437,8.666066,61.006636
35,0,0.011913,31.931717,0.349320,0.008544,32.289581,23.404099,4.843509,60.549674
36,0,0.009599,34.159859,0.224596,0.007527,34.391982,21.634805,3.633708,59.670696
37,0,0.013140,33.689999,0.230780,0.006716,33.927495,22.956669,3.615578,60.513375
38,0,0.011385,34.484878,0.250298,0.006545,34.741721,22.587967,3.602414,60.943948
39,0,0.014667,32.387959,0.305642,0.009065,32.702666,22.762082,4.880183,60.360059
40,0,0.009423,32.089663,0.330274,0.039572,32.459509,23.222517,4.950232,60.642230
41,0,0.009394,33.207890,0.155391,0.006431,33.369712,26.277520,0.719524,60.376600
42,0,0.007056,31.862175,0.361276,0.007573,32.231024,21.779872,5.713632,59.732047
43,0,0.010253,33.033438,0.265922,0.006438,33.305798,23.852512,3.670668,60.839644
44,0,0.011761,32.016283,0.299548,0.006248,32.322079,22.894128,5.600636,60.829117
45,0,0.014505,31.562648,0.251063,0.006116,31.819827,24.571899,4.617322,61.024060
46,0,0.013726,31.148065,0.099011,0.006827,31.253903,24.820078,3.766055,59.854168
47,0,0.010739,38.932305,0.163941,0.006738,39.102984,23.060406,13.941073,76.115883
48,0,0.021327,37.255081,0.382804,0.006104,37.643989,22.704676,15.575374,75.945829
49,0,0.017694,33.210541,0.169268,0.006944,33.386753,24.708775,1.933087,60.046864
50,0,0.007600,32.671983,0.123833,0.006759,32.802575,23.282476,3.733759,59.826849
51,0,0.014371,32.030431,0.378019,0.006536,32.414986,22.786198,5.640283,60.856342
52,0,0.011246,29.815933,0.238363,0.007425,30.061721,22.003514,8.791585,60.868547
53,0,0.015058,30.804238,0.296042,0.006920,31.107200,22.374186,6.644624,60.141495
54,0,0.012215,35.114906,0.218887,0.009023,35.342816,22.724854,2.706248,60.786586
55,0,0.009001,32.249514,0.343532,0.006718,32.599764,23.120709,4.607073,60.336912
56,0,0.011272,35.206067,0.374878,0.009124,35.590069,22.508480,1.557227,59.667504
57,0,0.007932,31.769299,0.201219,0.006946,31.977464,22.775793,5.447605,60.209270
58,0,0.012390,31.565169,0.253371,0.007283,31.825823,24.973544,4.708308,61.520695
