metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,16.455818,0.020142,0.006486,0.937236
ants_advance,817,24760.062437,30.306074,24.963912,70.526455
evaporation,817,202.289166,0.247600,0.145101,1.010248
update,817,6.391498,0.007823,0.005800,0.051262
advance_total,817,24968.743101,30.561497,25.233089,70.875487
render,817,30984.666574,37.924928,21.476472,75.957133
blit,817,6721.380182,8.226904,0.493900,16.920155
iteration_total,817,62691.700171,76.734027,57.632408,136.154965

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
