metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,17.954527,0.021976,0.007158,1.147377
ants_advance,817,25668.543155,31.418045,23.076278,78.936410
evaporation,817,221.361775,0.270945,0.171795,3.811148
update,817,7.630593,0.009340,0.006167,0.172420
advance_total,817,25897.535523,31.698330,23.337729,79.191415
render,817,33236.617961,40.681295,22.483153,96.884602
blit,817,7073.005737,8.657290,0.480205,16.789497
iteration_total,817,66225.586245,81.059469,57.574349,136.189944

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
