metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,15.758435,0.019288,0.006544,0.996192
ants_advance,817,29856.496731,36.544060,28.103746,59.586786
evaporation,817,173.675219,0.212577,0.111793,0.809261
update,817,5.167189,0.006325,0.004836,0.049890
advance_total,817,30035.339139,36.762961,28.352970,59.851606
render,817,29309.455825,35.874487,20.395472,71.853717
blit,817,7261.923250,8.888523,0.377023,16.893700
iteration_total,817,66622.960579,81.545851,58.170278,135.635408

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
