metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,15.169604,0.018567,0.006625,0.738705
ants_advance,817,28498.895444,34.882369,25.629959,58.501504
evaporation,817,177.054433,0.216713,0.107105,0.794636
update,817,5.871796,0.007187,0.005177,0.046132
advance_total,817,28681.821673,35.106269,25.815514,58.675870
render,817,29938.035530,36.643862,21.100301,71.373433
blit,817,6708.085028,8.210630,0.410641,16.867373
iteration_total,817,65343.543633,79.979858,58.288937,136.639908

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
