metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,14.487975,0.017733,0.006272,0.833501
ants_advance,817,25840.697163,31.628760,25.820251,49.261471
evaporation,817,216.823683,0.265390,0.090283,1.069028
update,817,6.344642,0.007766,0.005208,0.140978
advance_total,817,26063.865488,31.901916,25.974649,49.480710
render,817,27709.383115,33.916014,20.946258,72.191695
blit,817,6386.213996,7.816663,0.485331,16.694150
iteration_total,817,60174.416324,73.652896,57.981209,128.168256

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
